book_name,book_isbn,book_aisle,book_author
In the Park,167-48-3150,SCBLC47J37C950293,Mohandas
Dead Silent,644-93-1328,1G4GH5G36DF344032,Thornie
Stanley & Iris,898-18-2005,4T1BD1FKXDU115940,Elvis
Night Ambush (Ill Met by Moonlight),245-92-1853,YV1672MC4BJ102639,Byrom
Svidd Neger,691-38-6939,1FTSW2B50AE616827,Pierce
Mon Oncle (My Uncle),356-99-0788,5N1AN0NU6EN544140,Sigvard
Dragon Day,747-85-8065,JTEBU5JR4F5850227,Borden
Popeye,412-37-7434,1C3BCBEB1DN989865,Torrey
Ghost Ship,107-24-6000,1D4PT2GKXBW623220,Morty
Double Indemnity,532-37-6559,5N1BA0NE1FN284868,Albrecht
